epoch,Training Loss,Validation Loss
1,2.3098134994506836,2.308816432952881
2,2.309239149093628,2.3082785606384277
3,2.3087587356567383,2.3078298568725586
4,2.3083014488220215,2.3074069023132324
5,2.3078770637512207,2.3070075511932373
6,2.3074705600738525,2.306622266769409
7,2.307077169418335,2.306252956390381
8,2.306708812713623,2.305903196334839
9,2.306344509124756,2.305554151535034
10,2.3059704303741455,2.3051974773406982
11,2.3056116104125977,2.3048553466796875
12,2.305243492126465,2.3045029640197754
13,2.3048787117004395,2.3041563034057617
14,2.3045239448547363,2.3038177490234375
15,2.3041560649871826,2.3034610748291016
16,2.3037760257720947,2.3030941486358643
17,2.303384780883789,2.3027164936065674
18,2.302978277206421,2.30232310295105
19,2.3025612831115723,2.301917314529419
20,2.302133321762085,2.3014957904815674
21,2.301708698272705,2.3010787963867188
22,2.3012640476226807,2.3006391525268555
23,2.3008108139038086,2.300187587738037
24,2.3003334999084473,2.2997100353240967
25,2.2998430728912354,2.299222230911255
26,2.2993202209472656,2.2987046241760254
27,2.298790454864502,2.2981719970703125
28,2.298262596130371,2.297638177871704
29,2.297715425491333,2.2970800399780273
30,2.2971463203430176,2.296496868133545
31,2.296557664871216,2.295893907546997
32,2.2959654331207275,2.295285224914551
33,2.2953503131866455,2.2946529388427734
34,2.29465913772583,2.2939484119415283
35,2.2939412593841553,2.293212652206421
36,2.2932522296905518,2.2924954891204834
37,2.2924587726593018,2.2916769981384277
38,2.291668176651001,2.2908477783203125
39,2.2908213138580322,2.289963722229004
40,2.289900302886963,2.2890067100524902
41,2.288926362991333,2.2879886627197266
42,2.287935972213745,2.2869458198547363
43,2.2869179248809814,2.2858619689941406
44,2.2858896255493164,2.2847628593444824
45,2.28470778465271,2.283510446548462
46,2.2834928035736084,2.282212734222412
47,2.282141923904419,2.28078031539917
48,2.28076171875,2.2793097496032715
49,2.279261350631714,2.277712345123291
50,2.2776951789855957,2.276034355163574
51,2.275974750518799,2.274191379547119
52,2.274134874343872,2.2722201347351074
53,2.2726783752441406,2.270595073699951
54,2.2706708908081055,2.268434524536133
55,2.268240451812744,2.265857219696045
56,2.2658851146698,2.263331651687622
57,2.263350486755371,2.260619640350342
58,2.2606732845306396,2.2577500343322754
59,2.257024049758911,2.2539443969726562
60,2.2534425258636475,2.250200033187866
61,2.2506377696990967,2.2471988201141357
62,2.2491061687469482,2.245445966720581
63,2.242591142654419,2.2388713359832764
64,2.234159469604492,2.230438709259033
65,2.235947370529175,2.23205828666687
66,2.227229595184326,2.2234251499176025
67,2.2102391719818115,2.206627130508423
68,2.1990621089935303,2.1956915855407715
69,2.1881375312805176,2.185133457183838
70,2.171219825744629,2.1687052249908447
71,2.1598973274230957,2.1579575538635254
72,2.15259051322937,2.1513729095458984
73,2.1401207447052,2.139800548553467
74,2.1525444984436035,2.1532905101776123
75,2.189732074737549,2.191763401031494
76,2.2201361656188965,2.2233405113220215
77,2.2279462814331055,2.23222017288208
78,2.214718818664551,2.2202653884887695
79,2.184387445449829,2.1911633014678955
80,2.142566442489624,2.150383710861206
81,2.1177940368652344,2.1268694400787354
82,2.0995941162109375,2.109678030014038
83,2.1061668395996094,2.117611885070801
84,2.1043307781219482,2.116628885269165
85,2.121333122253418,2.134995937347412
86,2.1233348846435547,2.1384925842285156
87,2.123319149017334,2.1398770809173584
88,2.118321180343628,2.1368300914764404
89,2.107736587524414,2.127891778945923
90,2.108250856399536,2.130509614944458
91,2.0844383239746094,2.1081960201263428
92,2.0781338214874268,2.1036059856414795
93,2.06467866897583,2.0915305614471436
94,2.0392167568206787,2.067288398742676
95,2.0497639179229736,2.079219341278076
96,2.031348466873169,2.0613365173339844
