epoch,Training Loss,Validation Loss
1,1.953780174255371,1.9494142532348633
2,1.9533618688583374,1.9490673542022705
3,1.9529427289962769,1.948715329170227
4,1.9525156021118164,1.9483543634414673
5,1.952104091644287,1.9480023384094238
6,1.9516987800598145,1.9476566314697266
7,1.9513052701950073,1.9473226070404053
8,1.950924277305603,1.9470021724700928
9,1.9505432844161987,1.9466829299926758
10,1.950166940689087,1.9463670253753662
11,1.9497934579849243,1.9460535049438477
12,1.949419379234314,1.945738673210144
13,1.9490349292755127,1.9454145431518555
14,1.9486366510391235,1.9450751543045044
15,1.9482173919677734,1.9447160959243774
16,1.9477651119232178,1.9443250894546509
17,1.947283387184143,1.9439053535461426
18,1.9468246698379517,1.943509817123413
19,1.9464008808135986,1.9431504011154175
20,1.9460021257400513,1.9428168535232544
21,1.9456230401992798,1.9425030946731567
22,1.9452587366104126,1.942204475402832
23,1.9449046850204468,1.9419183731079102
24,1.944564700126648,1.941645860671997
25,1.9442328214645386,1.9413819313049316
26,1.9439078569412231,1.9411228895187378
27,1.9435889720916748,1.9408680200576782
28,1.9432766437530518,1.9406179189682007
29,1.9429690837860107,1.9403719902038574
30,1.9426674842834473,1.9401315450668335
31,1.9423694610595703,1.9398936033248901
32,1.9420753717422485,1.9396594762802124
33,1.9417860507965088,1.9394278526306152
34,1.941497802734375,1.9391975402832031
35,1.9412109851837158,1.9389678239822388
36,1.940926194190979,1.9387400150299072
37,1.9406412839889526,1.9385128021240234
38,1.940355658531189,1.9382855892181396
39,1.9400718212127686,1.9380601644515991
40,1.9397881031036377,1.937834620475769
41,1.9395062923431396,1.9376094341278076
42,1.9392240047454834,1.9373842477798462
43,1.9389431476593018,1.9371594190597534
44,1.9386626482009888,1.9369347095489502
45,1.9383823871612549,1.9367103576660156
46,1.9381040334701538,1.9364867210388184
47,1.9378249645233154,1.936263084411621
48,1.9375462532043457,1.9360401630401611
49,1.93726646900177,1.9358168840408325
50,1.936987280845642,1.9355939626693726
51,1.9367077350616455,1.9353703260421753
52,1.9364278316497803,1.9351469278335571
53,1.9361478090286255,1.9349223375320435
54,1.935866117477417,1.9346973896026611
55,1.9355857372283936,1.9344725608825684
56,1.9353059530258179,1.9342471361160278
57,1.9350266456604004,1.934021234512329
58,1.9347479343414307,1.9337953329086304
59,1.9344691038131714,1.9335694313049316
60,1.934190273284912,1.9333432912826538
61,1.9339112043380737,1.9331165552139282
62,1.9336309432983398,1.932888388633728
63,1.9333503246307373,1.9326595067977905
64,1.9330697059631348,1.9324307441711426
65,1.932787299156189,1.93220055103302
66,1.9325040578842163,1.9319690465927124
67,1.9322203397750854,1.9317374229431152
68,1.931936502456665,1.9315041303634644
69,1.9316511154174805,1.931269645690918
70,1.9313642978668213,1.9310333728790283
71,1.931075930595398,1.9307962656021118
72,1.9307855367660522,1.9305564165115356
73,1.9304934740066528,1.930315375328064
74,1.9301998615264893,1.9300721883773804
75,1.9299031496047974,1.9298267364501953
76,1.92960524559021,1.9295785427093506
77,1.9293056726455688,1.9293286800384521
78,1.929003119468689,1.9290766716003418
79,1.9286986589431763,1.9288231134414673
80,1.9283918142318726,1.92856764793396
81,1.9280823469161987,1.9283089637756348
82,1.9277703762054443,1.9280474185943604
83,1.9274568557739258,1.9277839660644531
84,1.9271405935287476,1.9275181293487549
85,1.9268215894699097,1.9272491931915283
86,1.9265003204345703,1.926979422569275
87,1.9261754751205444,1.9267064332962036
88,1.9258484840393066,1.9264308214187622
89,1.9255177974700928,1.9261524677276611
90,1.9251844882965088,1.9258711338043213
91,1.9248484373092651,1.9255872964859009
92,1.9245086908340454,1.9253003597259521
93,1.9241657257080078,1.9250105619430542
94,1.9238194227218628,1.9247159957885742
95,1.9234695434570312,1.9244191646575928
96,1.9231164455413818,1.9241186380386353
97,1.9227595329284668,1.923816442489624
98,1.9223992824554443,1.9235105514526367
99,1.922034740447998,1.923200011253357
100,1.9216665029525757,1.9228851795196533
101,1.921294093132019,1.9225664138793945
102,1.9209175109863281,1.922242522239685
103,1.9205368757247925,1.921915054321289
104,1.920151948928833,1.9215840101242065
105,1.919762372970581,1.921247959136963
106,1.9193686246871948,1.92090904712677
107,1.9189696311950684,1.9205646514892578
108,1.9185646772384644,1.9202123880386353
